Word scores
    658. inlet (score=0.1718)
    659. shone (score=0.1717)
    660. drone (score=0.1717)
    661. price (score=0.1715)
    662. maple (score=0.1715)
    663. threw (score=0.1713)
    664. spore (score=0.1713)
    665. chase (score=0.1713)
    666. idler (score=0.1712)
    667. place (score=0.1712)
    668. pixel (score=0.1711)
    669. voxel (score=0.1709)
    670. acked (score=0.1709)
    671. mauve (score=0.1709)
    672. force (score=0.1706)
    673. guyed (score=0.1705)
    674. score (score=0.1705)
    675. given (score=0.1705)
    676. gimel (score=0.1704)
    677. ached (score=0.1702)
    678. rouse (score=0.1701)
    679. singe (score=0.1701)
    680. stile (score=0.1701)
    681. write (score=0.1700)
    682. voice (score=0.1700)
    683. crime (score=0.1700)
    684. smite (score=0.1699)
    685. onset (score=0.1698)
    686. klieg (score=0.1698)
    687. surge (score=0.1697)
    688. tripe (score=0.1693)
    689. sidle (score=0.1692)
    690. asked (score=0.1691)
    691. outen (score=0.1691)
    692. gauze (score=0.1690)
    693. stone (score=0.1689)
    694. trike (score=0.1689)
    695. rumen (score=0.1688)
    696. value (score=0.1686)
    697. opted (score=0.1686)
    698. swore (score=0.1684)
    699. curie (score=0.1683)
    700. nuked (score=0.1682)
    701. gable (score=0.1682)
    702. inker (score=0.1680)
    703. halve (score=0.1677)
    704. inset (score=0.1676)
    705. unset (score=0.1674)
    706. fable (score=0.1673)
    707. fuzed (score=0.1672)
    708. other (score=0.1672)
    709. litre (score=0.1671)
    710. laird (score=0.1670)
    711. infer (score=0.1669)
    712. owned (score=0.1666)
    713. phase (score=0.1665)
    714. oncet (score=0.1665)
    715. wizen (score=0.1665)
    716. tribe (score=0.1664)
    717. clave (score=0.1664)
    718. horde (score=0.1664)
    719. pride (score=0.1664)
    720. alone (score=0.1663)
    721. badge (score=0.1660)
    722. video (score=0.1659)
    723. typed (score=0.1659)
    724. owlet (score=0.1658)
    725. snide (score=0.1654)
    726. spice (score=0.1653)
    727. louse (score=0.1653)
    728. hyper (score=0.1653)
    729. prime (score=0.1652)
    730. smile (score=0.1652)
    731. scone (score=0.1652)
    732. douse (score=0.1652)
    733. teary (score=0.1647)
    734. prose (score=0.1647)
    735. monte (score=0.1645)
    736. prune (score=0.1643)
    737. vixen (score=0.1643)
    738. forge (score=0.1641)
    739. islet (score=0.1640)
    740. lumen (score=0.1639)
    741. snipe (score=0.1639)
    742. afire (score=0.1637)
    743. bride (score=0.1635)
    744. dairy (score=0.1635)
    745. ocher (score=0.1635)
    746. sonar (score=0.1633)
    747. paint (score=0.1633)
    748. ogled (score=0.1633)
    749. mitre (score=0.1633)
    750. blade (score=0.1632)
    751. rainy (score=0.1631)
    752. unmet (score=0.1629)
    753. poste (score=0.1624)
    754. chine (score=0.1623)
    755. slope (score=0.1622)
    756. saith (score=0.1622)
    757. upset (score=0.1621)
    758. seamy (score=0.1621)
    759. blame (score=0.1621)
    760. thine (score=0.1621)
    761. unate (score=0.1616)
    762. cruse (score=0.1616)
    763. drive (score=0.1616)
    764. dogie (score=0.1615)
    765. krone (score=0.1615)
    766. mouse (score=0.1614)
    767. umber (score=0.1613)
    768. prize (score=0.1612)
    769. boule (score=0.1611)
    770. solar (score=0.1611)
    771. angel (score=0.1611)
